Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-89407,455,8
Action-89408,253,4
Action-89409,131,38
Action-89410,210,14
Action-89411,282,15
Action-89412,38,23
Action-89413,406,5
Action-89414,255,27
Action-89415,262,42
Action-89416,6,16
Action-89417,7,39
Action-89418,50,45
Action-89419,336,14
Action-89420,354,5
Action-89421,398,30
Action-89422,255,41
Action-89423,103,28
Action-89424,172,10
Action-89425,98,4
Action-89426,330,7
Action-89427,89,30
Action-89428,176,47
Action-89429,69,48
Action-89430,127,13
Action-89431,420,3
Action-89432,398,39
Action-89433,69,23
Action-89434,3,2
Action-89435,289,0
Action-89436,339,29
Action-89437,382,19
Action-89438,21,5
Action-89439,320,32
Action-89440,102,46
Action-89441,329,36
Action-89442,402,48
Action-89443,154,23
Action-89444,382,11
Action-89445,401,13
Action-89446,130,25
Action-89447,400,17
Action-89448,60,11
Action-89449,278,5
Action-89450,280,38
Action-89451,412,1
Action-89452,471,35
Action-89453,316,45
Action-89454,489,5
Action-89455,179,27
Action-89456,306,27
Action-89457,252,49
Action-89458,392,48
Action-89459,327,0
Action-89460,440,27
Action-89461,33,15
Action-89462,179,34
Action-89463,141,31
Action-89464,380,41
Action-89465,282,14
Action-89466,270,23
Action-89467,41,6
Action-89468,199,37
Action-89469,312,43
Action-89470,453,5
Action-89471,418,3
Action-89472,472,29
Action-89473,361,9
Action-89474,136,11
Action-89475,294,39
Action-89476,143,47
Action-89477,216,43
Action-89478,380,36
Action-89479,299,46
Action-89480,93,34
Action-89481,387,17
Action-89482,267,36
Action-89483,227,2
Action-89484,39,49
Action-89485,324,38
Action-89486,118,8
Action-89487,342,31
Action-89488,110,38
Action-89489,228,41
Action-89490,220,2
Action-89491,359,36
Action-89492,229,11
Action-89493,59,27
Action-89494,39,49
Action-89495,378,44
Action-89496,494,9
Action-89497,168,44
Action-89498,248,49
Action-89499,249,1
Action-89500,177,18
Action-89501,202,0
Action-89502,371,20
Action-89503,215,10
Action-89504,420,26
Action-89505,266,42
Action-89506,383,40
Action-89507,8,19
Action-89508,141,41
Action-89509,156,10
Action-89510,478,36
Action-89511,65,19
Action-89512,269,14
Action-89513,307,22
Action-89514,61,34
Action-89515,185,12
Action-89516,478,37
Action-89517,278,2
Action-89518,376,32
Action-89519,36,12
Action-89520,312,40
Action-89521,298,25
Action-89522,48,8
Action-89523,335,38
Action-89524,201,33
Action-89525,414,47
Action-89526,201,28
Action-89527,269,36
Action-89528,10,30
Action-89529,480,19
Action-89530,332,11
Action-89531,222,34
Action-89532,376,30
Action-89533,21,11
Action-89534,408,8
Action-89535,85,9
Action-89536,273,39
Action-89537,169,29
Action-89538,318,23
Action-89539,373,5
Action-89540,363,36
Action-89541,246,31
Action-89542,35,31
Action-89543,44,48
Action-89544,237,43
Action-89545,415,44
Action-89546,33,30
Action-89547,420,48
Action-89548,408,47
Action-89549,412,37
Action-89550,494,38
Action-89551,408,42
Action-89552,485,41
Action-89553,227,39
Action-89554,382,29
Action-89555,133,8
Action-89556,34,24
Action-89557,61,37
Action-89558,240,7
Action-89559,55,37
Action-89560,264,20
Action-89561,213,29
Action-89562,402,47
Action-89563,78,11
Action-89564,296,4
Action-89565,285,15
Action-89566,446,17
Action-89567,157,19
Action-89568,269,32
Action-89569,120,31
Action-89570,96,32
Action-89571,236,9
Action-89572,67,9
Action-89573,189,6
Action-89574,121,6
Action-89575,88,12
Action-89576,477,17
Action-89577,23,41
Action-89578,143,41
Action-89579,441,25
Action-89580,386,39
Action-89581,85,34
Action-89582,206,2
Action-89583,443,44
Action-89584,438,14
Action-89585,126,28
Action-89586,444,10
Action-89587,13,21
Action-89588,130,46
Action-89589,357,48
Action-89590,169,12
Action-89591,247,29
Action-89592,308,31
Action-89593,180,5
Action-89594,373,24
Action-89595,15,31
Action-89596,133,48
Action-89597,186,13
Action-89598,391,45
Action-89599,492,41
Action-89600,343,46
Action-89601,287,49
Action-89602,492,19
Action-89603,499,35
Action-89604,401,13
Action-89605,71,15
Action-89606,420,35
Action-89607,228,14
Action-89608,484,0
Action-89609,476,13
Action-89610,281,18
Action-89611,461,44
Action-89612,253,6
Action-89613,406,13
Action-89614,184,5
Action-89615,468,34
Action-89616,259,15
Action-89617,348,2
Action-89618,343,4
Action-89619,402,26
Action-89620,90,47
Action-89621,396,2
Action-89622,432,15
Action-89623,16,5
Action-89624,303,25
Action-89625,3,7
Action-89626,404,15
Action-89627,288,29
Action-89628,108,38
Action-89629,424,21
Action-89630,400,40
Action-89631,345,40
Action-89632,396,7
Action-89633,104,11
Action-89634,9,22
Action-89635,160,12
Action-89636,470,32
Action-89637,435,41
Action-89638,335,1
Action-89639,397,47
Action-89640,67,3
Action-89641,494,33
Action-89642,450,48
Action-89643,66,30
Action-89644,283,36
Action-89645,243,39
Action-89646,66,49
Action-89647,204,16
Action-89648,89,2
Action-89649,203,24
Action-89650,222,3
Action-89651,152,30
Action-89652,104,39
Action-89653,107,32
Action-89654,350,17
Action-89655,33,36
Action-89656,159,37
Action-89657,432,14
Action-89658,485,28
Action-89659,99,48
Action-89660,85,11
Action-89661,173,42
Action-89662,415,25
Action-89663,220,8
Action-89664,89,15
Action-89665,446,35
Action-89666,55,38
Action-89667,399,11
Action-89668,108,7
Action-89669,68,20
Action-89670,77,40
Action-89671,211,38
Action-89672,290,27
Action-89673,160,4
Action-89674,481,31
Action-89675,474,14
Action-89676,455,17
Action-89677,240,38
Action-89678,8,33
Action-89679,51,10
Action-89680,177,39
Action-89681,6,37
Action-89682,404,1
Action-89683,370,38
Action-89684,493,39
Action-89685,349,49
Action-89686,278,13
Action-89687,235,0
Action-89688,374,37
Action-89689,311,36
Action-89690,280,43
Action-89691,160,27
Action-89692,12,42
Action-89693,192,28
Action-89694,276,5
Action-89695,451,5
Action-89696,219,35
Action-89697,483,49
Action-89698,499,12
Action-89699,141,35
Action-89700,26,4
Action-89701,378,14
Action-89702,214,18
Action-89703,303,5
Action-89704,216,28
Action-89705,294,43
Action-89706,44,3
Action-89707,29,38
Action-89708,305,43
Action-89709,164,7
Action-89710,134,31
Action-89711,124,13
Action-89712,419,25
Action-89713,373,8
Action-89714,294,31
Action-89715,310,48
Action-89716,388,44
Action-89717,352,23
Action-89718,458,14
Action-89719,37,28
Action-89720,2,2
Action-89721,72,46
Action-89722,12,42
Action-89723,137,25
Action-89724,129,46
Action-89725,350,9
Action-89726,30,7
Action-89727,252,16
Action-89728,405,25
Action-89729,474,14
Action-89730,181,44
Action-89731,162,35
Action-89732,283,23
Action-89733,145,12
Action-89734,33,32
Action-89735,482,20
Action-89736,102,48
Action-89737,482,24
Action-89738,277,18
Action-89739,207,35
Action-89740,471,45
Action-89741,341,26
Action-89742,163,18
Action-89743,16,48
Action-89744,421,7
Action-89745,340,48
Action-89746,276,35
Action-89747,239,26
Action-89748,233,0
Action-89749,342,0
Action-89750,341,24
Action-89751,499,29
Action-89752,81,15
Action-89753,99,7
Action-89754,452,48
Action-89755,452,16
Action-89756,70,30
Action-89757,383,24
Action-89758,208,42
Action-89759,226,48
Action-89760,430,21
Action-89761,60,18
Action-89762,354,18
Action-89763,357,39
Action-89764,77,15
Action-89765,364,22
Action-89766,201,48
Action-89767,297,49
Action-89768,478,10
Action-89769,420,15
Action-89770,124,42
Action-89771,12,48
Action-89772,172,43
Action-89773,266,4
Action-89774,360,16
Action-89775,386,19
Action-89776,289,27
Action-89777,470,44
Action-89778,196,6
Action-89779,107,32
Action-89780,457,33
Action-89781,419,44
Action-89782,63,37
Action-89783,163,18
Action-89784,482,32
Action-89785,62,0
Action-89786,152,44
Action-89787,170,42
Action-89788,211,43
Action-89789,85,13
Action-89790,435,36
Action-89791,89,48
Action-89792,202,47
Action-89793,495,12
Action-89794,273,14
Action-89795,224,24
Action-89796,18,22
Action-89797,110,5
Action-89798,414,27
Action-89799,194,16
Action-89800,406,4
Action-89801,437,30
Action-89802,372,27
Action-89803,456,2
Action-89804,170,5
Action-89805,95,14
Action-89806,435,22
Action-89807,452,29
Action-89808,326,30
Action-89809,18,19
Action-89810,306,42
Action-89811,195,40
Action-89812,296,23
Action-89813,429,21
Action-89814,448,43
Action-89815,71,31
Action-89816,157,28
Action-89817,494,46
Action-89818,84,27
Action-89819,158,12
Action-89820,35,41
Action-89821,215,17
Action-89822,340,15
Action-89823,478,31
Action-89824,110,5
Action-89825,360,44
Action-89826,76,34
Action-89827,487,12
Action-89828,189,18
Action-89829,236,25
Action-89830,279,2
Action-89831,277,22
Action-89832,421,46
Action-89833,260,13
Action-89834,168,26
Action-89835,373,0
Action-89836,106,16
Action-89837,224,34
Action-89838,306,1
Action-89839,440,43
Action-89840,425,36
Action-89841,498,43
Action-89842,251,9
Action-89843,465,15
Action-89844,49,40
Action-89845,155,35
Action-89846,363,44
Action-89847,385,3
Action-89848,378,36
Action-89849,496,9
Action-89850,203,35
Action-89851,359,21
Action-89852,256,22
Action-89853,17,31
Action-89854,364,42
Action-89855,128,14
Action-89856,251,15
Action-89857,440,21
Action-89858,493,2
Action-89859,226,47
Action-89860,137,2
Action-89861,265,25
Action-89862,17,40
Action-89863,260,16
Action-89864,38,26
Action-89865,42,22
Action-89866,432,12
Action-89867,249,17
Action-89868,451,36
Action-89869,352,46
Action-89870,230,1
Action-89871,367,27
Action-89872,272,28
Action-89873,258,44
Action-89874,190,15
Action-89875,164,39
Action-89876,353,45
Action-89877,237,35
Action-89878,487,9
Action-89879,221,48
Action-89880,215,6
Action-89881,463,16
Action-89882,5,14
Action-89883,187,39
Action-89884,356,46
Action-89885,429,22
Action-89886,414,10
Action-89887,276,23
Action-89888,82,46
Action-89889,239,38
Action-89890,120,48
Action-89891,290,23
Action-89892,96,30
Action-89893,439,42
Action-89894,86,1
Action-89895,179,11
Action-89896,110,47
Action-89897,313,7
Action-89898,427,46
Action-89899,71,37
Action-89900,21,18
Action-89901,85,48
Action-89902,386,17
Action-89903,13,18
Action-89904,24,1
Action-89905,411,9
Action-89906,73,37
Action-89907,167,21
Action-89908,389,24
Action-89909,398,38
Action-89910,289,9
Action-89911,407,12
Action-89912,218,1
Action-89913,193,6
Action-89914,424,5
Action-89915,392,8
Action-89916,141,30
Action-89917,335,45
Action-89918,102,34
Action-89919,337,42
Action-89920,189,29
Action-89921,290,30
Action-89922,109,3
Action-89923,496,26
Action-89924,214,18
Action-89925,95,43
Action-89926,437,9
Action-89927,265,44
Action-89928,392,47
Action-89929,317,38
Action-89930,471,7
Action-89931,383,40
Action-89932,58,7
Action-89933,153,43
Action-89934,365,9
Action-89935,236,17
Action-89936,210,37
Action-89937,254,10
Action-89938,51,44
Action-89939,54,22
Action-89940,101,25
Action-89941,196,13
Action-89942,84,7
Action-89943,342,46
Action-89944,35,39
Action-89945,216,39
Action-89946,240,6
Action-89947,100,41
Action-89948,247,14
Action-89949,386,40
Action-89950,353,47
Action-89951,293,41
Action-89952,342,5
Action-89953,336,48
Action-89954,208,42
Action-89955,285,37
Action-89956,57,40
Action-89957,312,35
Action-89958,401,26
Action-89959,340,11
Action-89960,182,39
Action-89961,201,41
Action-89962,32,48
Action-89963,192,9
Action-89964,442,14
Action-89965,263,1
Action-89966,329,28
Action-89967,270,11
Action-89968,195,14
Action-89969,363,36
Action-89970,388,41
Action-89971,469,26
Action-89972,38,5
Action-89973,242,17
Action-89974,284,36
Action-89975,79,9
Action-89976,267,25
Action-89977,422,45
Action-89978,146,30
Action-89979,429,25
Action-89980,368,42
Action-89981,440,10
Action-89982,314,10
Action-89983,223,11
Action-89984,275,20
Action-89985,403,21
Action-89986,344,47
Action-89987,250,35
Action-89988,120,19
Action-89989,463,44
Action-89990,198,33
Action-89991,44,31
Action-89992,85,6
Action-89993,293,46
Action-89994,456,8
Action-89995,332,28
Action-89996,254,3
Action-89997,421,25
Action-89998,276,46
Action-89999,75,6
Action-90000,90,40
Action-90001,369,43
Action-90002,4,26
Action-90003,436,43
Action-90004,206,29
Action-90005,150,26
Action-90006,90,29
Action-90007,147,30
Action-90008,488,40
Action-90009,316,25
Action-90010,350,45
Action-90011,80,37
Action-90012,169,16
Action-90013,123,12
Action-90014,323,42
Action-90015,166,27
Action-90016,493,27
Action-90017,489,38
Action-90018,359,5
Action-90019,64,27
Action-90020,313,42
Action-90021,324,26
Action-90022,112,10
Action-90023,388,10
Action-90024,211,49
Action-90025,61,26
Action-90026,98,21
Action-90027,408,30
Action-90028,365,12
Action-90029,277,6
Action-90030,393,46
Action-90031,196,28
Action-90032,16,16
Action-90033,252,28
Action-90034,57,16
Action-90035,270,1
Action-90036,184,39
Action-90037,351,25
Action-90038,243,18
Action-90039,137,15
Action-90040,164,41
Action-90041,93,7
Action-90042,379,45
Action-90043,210,10
Action-90044,130,47
Action-90045,378,37
Action-90046,74,44
Action-90047,432,33
Action-90048,205,40
Action-90049,118,18
Action-90050,195,13
Action-90051,325,27
Action-90052,411,20
Action-90053,462,34
Action-90054,443,22
Action-90055,153,29
Action-90056,207,14
Action-90057,182,6
Action-90058,474,14
Action-90059,277,35
Action-90060,261,38
Action-90061,38,12
Action-90062,399,33
Action-90063,414,38
Action-90064,480,0
Action-90065,410,23
Action-90066,92,18
Action-90067,91,2
Action-90068,21,44
Action-90069,441,39
Action-90070,472,46
Action-90071,344,7
Action-90072,172,41
Action-90073,369,34
Action-90074,205,16
Action-90075,243,18
Action-90076,395,27
Action-90077,254,38
Action-90078,240,31
Action-90079,345,9
Action-90080,425,20
Action-90081,69,42
Action-90082,455,41
Action-90083,200,6
Action-90084,29,15
Action-90085,491,37
Action-90086,304,34
Action-90087,49,47
Action-90088,434,7
Action-90089,55,34
Action-90090,236,5
Action-90091,280,7
Action-90092,365,30
Action-90093,271,25
Action-90094,483,15
Action-90095,93,8
Action-90096,11,19
Action-90097,46,6
Action-90098,48,12
Action-90099,130,11
Action-90100,43,1
Action-90101,123,49
Action-90102,472,34
Action-90103,268,41
Action-90104,5,28
Action-90105,210,19
Action-90106,271,9
Action-90107,310,7
Action-90108,80,47
Action-90109,378,40
Action-90110,403,2
Action-90111,324,17
Action-90112,6,30
Action-90113,310,39
Action-90114,236,42
Action-90115,36,25
Action-90116,470,39
Action-90117,430,29
Action-90118,131,33
Action-90119,191,48
Action-90120,421,35
Action-90121,451,38
Action-90122,472,16
Action-90123,348,43
Action-90124,398,34
Action-90125,147,47
Action-90126,259,23
Action-90127,139,26
Action-90128,63,28
Action-90129,17,16
Action-90130,270,28
Action-90131,337,3
Action-90132,220,39
Action-90133,101,43
Action-90134,388,44
Action-90135,319,25
Action-90136,352,8
Action-90137,431,18
Action-90138,230,47
Action-90139,257,31
Action-90140,177,30
Action-90141,52,33
Action-90142,454,40
Action-90143,170,10
Action-90144,236,37
Action-90145,361,43
Action-90146,370,19
Action-90147,51,1
Action-90148,167,47
Action-90149,168,31
Action-90150,358,2
Action-90151,404,13
Action-90152,245,7
Action-90153,101,20
Action-90154,2,12
Action-90155,199,23
Action-90156,235,34
Action-90157,219,19
Action-90158,450,40
Action-90159,244,7
Action-90160,329,19
Action-90161,162,20
Action-90162,214,43
Action-90163,437,8
Action-90164,173,10
Action-90165,373,35
Action-90166,44,40
Action-90167,280,30
Action-90168,393,21
Action-90169,72,39
Action-90170,450,11
Action-90171,63,0
Action-90172,284,6
Action-90173,224,26
Action-90174,101,6
Action-90175,371,13
Action-90176,123,29
Action-90177,355,12
Action-90178,427,49
Action-90179,436,45
Action-90180,416,5
Action-90181,236,8
Action-90182,174,1
Action-90183,481,28
Action-90184,27,7
Action-90185,286,27
Action-90186,67,4
Action-90187,156,21
Action-90188,393,44
Action-90189,276,6
Action-90190,8,7
Action-90191,150,9
Action-90192,139,44
Action-90193,91,44
Action-90194,377,45
Action-90195,77,21
Action-90196,266,33
